YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,PRECTOTCORR,WS2M
2018,1,2,18,13.38,8.57,7.02,0,0.68
2018,1,2,19,12.7,8.6,7.08,0,0.66
2018,1,2,20,12.07,8.58,7.02,0,0.72
2018,1,2,21,11.34,8.45,6.96,0,0.72
2018,1,2,22,10.87,8.44,6.96,0,0.73
2018,1,2,23,10.37,8.26,6.9,0,0.79
2018,1,3,0,9.62,8.04,6.84,0,0.62
2018,1,3,1,9.83,7.87,6.71,0,0.87
2018,1,3,2,9.79,7.65,6.65,0,0.91
2018,1,3,3,9.75,7.26,6.47,0,0.99
2018,1,3,4,9.86,6.87,6.29,0,1.05
2018,1,3,5,9.86,6.52,6.16,0,1.04
2018,1,3,6,10.05,6.23,6.04,0,1.01
2018,1,3,7,10.55,5.85,5.86,0,1.03
2018,1,3,8,11.81,6.27,6.04,0.01,0.93
2018,1,3,9,12.86,7.74,6.65,0.07,0.71
2018,1,3,10,13.44,8.55,7.02,0.16,0.61
2018,1,3,11,14.08,9.41,7.45,0.4,0.59
2018,1,3,12,14.32,10.38,8,0.91,0.2
2018,1,3,13,14.33,10.39,7.93,0.96,0.79
2018,1,3,14,14.46,9.98,7.75,0.05,1.29
2018,1,3,15,14.62,9.74,7.63,0.02,0.92
2018,1,3,16,13.37,9.83,7.63,0.05,0.87
2018,1,3,17,12.91,9.7,7.57,0.14,1.4
2018,1,3,18,13.21,10.04,7.75,0.22,1.81
2018,1,3,19,12.64,10.35,7.93,0.24,1.53
2018,1,3,20,11.94,10.33,7.93,0.79,1.45
2018,1,3,21,12.33,10.54,8,2.84,1.51
2018,1,3,22,12.55,10.87,8.18,2.28,1.37
2018,1,3,23,12.57,11.14,8.36,0.41,1.27
2018,1,4,0,12.47,11.34,8.48,0.22,1.18
2018,1,4,1,12.32,11.52,8.54,0.18,1.07
2018,1,4,2,12.31,11.66,8.67,0.18,1.05
2018,1,4,3,12.27,11.73,8.67,0.18,1.08
2018,1,4,4,12.11,11.74,8.67,0.14,1.1
2018,1,4,5,12.15,11.8,8.73,0.06,1.07
2018,1,4,6,12.08,11.83,8.73,0.02,1.02
2018,1,4,7,12,11.88,8.79,0.02,0.97
2018,1,4,8,13.65,13.02,9.46,0.02,0.98
2018,1,4,9,15.25,14.02,10.07,0.03,1.01
2018,1,4,10,17.26,14.37,10.31,0.07,1.2
2018,1,4,11,18.61,13.54,9.77,0.11,1.46
2018,1,4,12,19.05,13.05,9.46,0.17,1.53
2018,1,4,13,18.89,13,9.46,0.19,1.52
2018,1,4,14,18.35,13.06,9.46,0.15,1.44
2018,1,4,15,17.39,13.31,9.64,0.23,1.27
2018,1,4,16,15.59,13.8,9.95,0.23,0.84
2018,1,4,17,13.36,13.65,9.83,0.17,0.69
2018,1,4,18,13.02,13.5,9.7,0.12,0.72
2018,1,4,19,12.88,13.33,9.64,0.11,0.76
2018,1,4,20,13.41,13.5,9.7,0.07,0.86
2018,1,4,21,13.49,13.48,9.7,0.05,0.92
2018,1,4,22,13.43,13.4,9.64,0.07,0.9
2018,1,4,23,13.47,13.39,9.64,0.11,0.87
2018,1,5,0,13.53,13.39,9.64,0.16,0.84
2018,1,5,1,13.58,13.39,9.64,0.11,0.88
2018,1,5,2,13.53,13.31,9.58,0.09,0.86
2018,1,5,3,13.46,13.23,9.52,0.09,0.85
2018,1,5,4,13.51,13.23,9.58,0.07,0.86
2018,1,5,5,13.62,13.33,9.64,0.08,0.9
2018,1,5,6,13.62,13.34,9.64,0.09,0.91
2018,1,5,7,13.6,13.33,9.58,0.18,0.89
2018,1,5,8,14.35,13.82,9.89,0.27,0.88
2018,1,5,9,15.02,14.23,10.19,0.27,0.82
2018,1,5,10,15.6,14.55,10.38,0.25,0.82
2018,1,5,11,15.89,14.65,10.44,0.3,0.79
2018,1,5,12,16.18,14.49,10.38,0.31,0.79
2018,1,5,13,16.31,14.1,10.07,0.35,0.87
2018,1,5,14,16.05,13.93,10.01,0.32,0.85
2018,1,5,15,15.36,13.94,10.01,0.26,0.7
2018,1,5,16,14.15,13.76,9.89,0.16,0.47
2018,1,5,17,13.2,13.24,9.52,0.14,0.46
2018,1,5,18,13,12.83,9.28,0.12,0.63
2018,1,5,19,12.75,12.38,9.03,0.08,0.75
2018,1,5,20,12.28,11.85,8.67,0.06,0.9
2018,1,5,21,11.77,11.3,8.36,0.06,1.07
2018,1,5,22,11.33,10.79,8.12,0.05,1.22
2018,1,5,23,10.97,10.36,7.87,0.08,1.28
2018,1,6,0,10.67,10.01,7.69,0.1,1.33
2018,1,6,1,10.44,9.73,7.57,0.25,1.37
2018,1,6,2,10.26,9.46,7.39,0.2,1.35
2018,1,6,3,10.01,9.19,7.26,0.06,1.14
2018,1,6,4,9.78,9,7.2,0.1,0.98
2018,1,6,5,9.16,8.39,6.9,0,1.07
2018,1,6,6,9.88,8.37,6.9,0,0.78
2018,1,6,7,9.8,8.4,6.9,0.04,0.65
2018,1,6,8,10.47,9.32,7.32,0.1,0.61
2018,1,6,9,11.59,9.63,7.51,0,0.87
2018,1,6,10,13.22,9.03,7.2,0,0.89
2018,1,6,11,15.03,7.76,6.59,0,0.76
2018,1,6,12,15.91,7.51,6.53,0,0.78
2018,1,6,13,16,7.39,6.47,0,0.92
2018,1,6,14,15.56,7.29,6.41,0.01,0.96
2018,1,6,15,14.82,7.38,6.47,0,0.96
2018,1,6,16,12.05,8.12,6.77,0,0.88
2018,1,6,17,9.41,7.62,6.59,0,1.21
2018,1,6,18,8.67,7.52,6.53,0,1.21
2018,1,6,19,8.37,7.36,6.47,0,1.23
2018,1,6,20,8.36,7.19,6.35,0,1.26
2018,1,6,21,8.21,7.08,6.35,0,1.27
2018,1,6,22,7.58,7.02,6.29,0,1.3
2018,1,6,23,7.43,6.94,6.29,0,1.21
2018,1,7,0,7.51,6.83,6.23,0,1.15
2018,1,7,1,7.07,6.73,6.16,0.01,1.21
2018,1,7,2,6.62,6.59,6.1,0.04,1.21
2018,1,7,3,6.21,6.41,6.04,0.11,1.18
2018,1,7,4,5.98,6.26,5.98,0,1.17
2018,1,7,5,5.81,6.19,5.98,0,1.16
2018,1,7,6,5.64,6.22,5.98,0,1.02
2018,1,7,7,5.85,6.36,6.04,0,0.94
2018,1,7,8,8.12,7.2,6.41,0,0.89
2018,1,7,9,9.62,7.93,6.71,0,0.89
2018,1,7,10,11.7,8.71,7.08,0,0.9
2018,1,7,11,13.26,9.19,7.32,0,1
2018,1,7,12,13.86,9.37,7.39,0,0.98
2018,1,7,13,14.16,9.26,7.32,0,0.92
2018,1,7,14,13.55,9.22,7.32,0,0.87
2018,1,7,15,12.21,9.73,7.57,0,0.65
2018,1,7,16,11.18,9.31,7.39,0,0.33
2018,1,7,17,10.74,9.26,7.39,0.01,0.49
2018,1,7,18,10.45,9.34,7.39,0.02,0.58
2018,1,7,19,9.95,9.39,7.45,0.11,0.8
2018,1,7,20,9.53,9.44,7.45,0.23,0.94
2018,1,7,21,9.28,9.55,7.51,0.37,0.88
2018,1,7,22,9.45,9.69,7.57,0.52,0.94
2018,1,7,23,9.6,9.66,7.57,0.61,0.88
2018,1,8,0,9.84,9.65,7.57,0.66,0.83
2018,1,8,1,9.83,9.62,7.57,0.54,0.88
2018,1,8,2,9.57,9.56,7.51,0.59,0.88
2018,1,8,3,9.89,9.83,7.69,0.87,0.89
2018,1,8,4,10.57,10.29,7.93,1.95,0.94
2018,1,8,5,10.84,10.51,8.06,2.25,0.99
2018,1,8,6,11,10.65,8.12,2.63,1.08
2018,1,8,7,11.39,10.99,8.3,3.01,1.24
2018,1,8,8,11.82,11.35,8.54,3.29,1.33
2018,1,8,9,12.43,11.84,8.79,3.2,1.57
2018,1,8,10,13.05,12.4,9.16,2.86,1.72
2018,1,8,11,13.45,12.81,9.4,2.26,1.54
2018,1,8,12,13.7,13.08,9.58,1.65,1.44
2018,1,8,13,13.92,13.2,9.64,1.66,1.27
2018,1,8,14,13.87,13.15,9.58,1.96,1.21
2018,1,8,15,13.53,12.97,9.52,2.02,0.94
2018,1,8,16,12.98,12.69,9.34,2.2,0.7
2018,1,8,17,12.48,12.49,9.22,1.93,0.63
2018,1,8,18,12.93,12.76,9.4,1.33,0.95
2018,1,8,19,13.76,13.19,9.64,1.01,1.57
2018,1,8,20,13.76,13.05,9.58,1.87,1.84
2018,1,8,21,13.55,12.8,9.46,4.81,1.91
2018,1,8,22,13.62,12.82,9.46,5.66,1.91
2018,1,8,23,13.67,12.91,9.52,3.88,1.77
2018,1,9,0,13.5,12.82,9.46,3.07,1.53
2018,1,9,1,13.14,12.58,9.34,2.4,1.34
2018,1,9,2,13.01,12.34,9.22,2.08,1.52
2018,1,9,3,13.01,12.19,9.09,1.74,1.59
2018,1,9,4,12.86,12.04,9.03,1.21,1.16
2018,1,9,5,12.64,11.89,8.91,0.75,1.23
2018,1,9,6,12.41,11.76,8.85,0.93,1.16
2018,1,9,7,12.1,11.54,8.73,1.98,0.84
2018,1,9,8,12.78,11.96,8.97,1.74,0.71
2018,1,9,9,13.56,12.37,9.22,0.56,0.69
2018,1,9,10,14.12,12.51,9.28,0.06,0.57
2018,1,9,11,14.47,12.31,9.16,0.05,0.44
2018,1,9,12,14.44,11.94,8.91,0.38,0.18
2018,1,9,13,14.15,11.69,8.79,1.24,0.48
2018,1,9,14,13.51,11.48,8.61,1.18,1.16
2018,1,9,15,12.73,11.33,8.54,0.3,1.51
2018,1,9,16,12.01,11.21,8.48,0.2,1.68
2018,1,9,17,11.53,10.93,8.3,0.25,1.86
2018,1,9,18,11.24,10.48,8.06,0.17,2.17
2018,1,9,19,11.02,10.07,7.81,0.07,2.25
2018,1,9,20,10.82,9.63,7.57,0.02,2.23
2018,1,9,21,10.62,9.23,7.39,0.01,2.18
2018,1,9,22,10.23,8.9,7.2,0,2.1
2018,1,9,23,9.74,8.62,7.08,0,1.95
2018,1,10,0,9.52,8.37,6.96,0,1.92
2018,1,10,1,9.39,8.1,6.77,0,1.9
2018,1,10,2,9.24,7.87,6.71,0,1.88
2018,1,10,3,9.1,7.7,6.59,0,1.78
2018,1,10,4,8.98,7.62,6.59,0,1.63
2018,1,10,5,8.17,7.58,6.53,0.01,1.41
2018,1,10,6,7.55,7.42,6.47,0.08,1.29
2018,1,10,7,8.53,7.62,6.53,0.13,1.18
2018,1,10,8,9.98,8.18,6.77,0.13,1.09
2018,1,10,9,10.68,8.37,6.9,0.14,0.98
2018,1,10,10,11.16,8.51,6.96,0.14,0.88
2018,1,10,11,11.47,8.99,7.2,0.15,0.8
2018,1,10,12,11.78,9.51,7.45,0.13,0.85
2018,1,10,13,12.08,9.98,7.69,0.11,0.87
2018,1,10,14,12.16,10.41,7.93,0.08,0.78
2018,1,10,15,12.13,10.83,8.12,0.06,0.6
2018,1,10,16,11.7,11.04,8.24,0.06,0.5
2018,1,10,17,11.32,10.75,8.12,0.05,0.77
2018,1,10,18,11.29,10.79,8.12,0.05,0.82
2018,1,10,19,10.97,10.69,8.06,0.04,0.94
2018,1,10,20,10.3,10.42,7.93,0.03,1.01
2018,1,10,21,9.92,10.36,7.87,0.03,0.9
2018,1,10,22,9.89,10.29,7.81,0.02,1.02
2018,1,10,23,9.8,10.13,7.75,0.02,1.03
2018,1,11,0,9.64,9.9,7.63,0.02,0.99
2018,1,11,1,9.55,9.73,7.57,0.02,0.92
2018,1,11,2,9.56,9.49,7.45,0.03,1.08
2018,1,11,3,9.77,9.49,7.45,0.03,1.08
2018,1,11,4,9.87,9.48,7.45,0.02,1.05
2018,1,11,5,10,9.52,7.45,0.01,0.99
2018,1,11,6,10.36,9.73,7.51,0.01,0.87
2018,1,11,7,10.73,9.95,7.63,0,0.68
2018,1,11,8,11.53,10.79,8.06,0,0.41
2018,1,11,9,13.4,11.98,8.79,0,0.39
2018,1,11,10,14.37,11.46,8.48,0,0.47
2018,1,11,11,15.71,10.98,8.18,0,0.4
2018,1,11,12,16.87,10.83,8.12,0,0.21
2018,1,11,13,17.39,11.06,8.24,0,0.34
2018,1,11,14,17.18,11.46,8.48,0,0.7
2018,1,11,15,16.38,11.85,8.67,0,0.78
2018,1,11,16,13.9,12.24,8.91,0,0.56
2018,1,11,17,11.64,11.2,8.3,0,0.8
2018,1,11,18,10.9,11.05,8.24,0,0.72
2018,1,11,19,10.23,10.83,8.12,0,0.85
2018,1,11,20,9.59,10.58,8,0,0.98
2018,1,11,21,9.06,10.26,7.81,0,1.03
2018,1,11,22,8.64,9.9,7.63,0,1.06
2018,1,11,23,8.26,9.55,7.45,0,1.06
2018,1,12,0,8.06,9.31,7.32,0.01,1.1
2018,1,12,1,8.45,9.34,7.32,0.01,1.16
2018,1,12,2,8.46,9.2,7.26,0.02,1.12
2018,1,12,3,7.84,8.73,7.02,0.02,1.06
2018,1,12,4,7.08,8.14,6.77,0.02,1.03
2018,1,12,5,7.05,7.85,6.65,0.02,1.03
2018,1,12,6,7,7.62,6.53,0.02,1.04
2018,1,12,7,7.51,7.73,6.53,0.02,1.06
2018,1,12,8,9.26,8.67,7.02,0.02,1.21
2018,1,12,9,11.17,9.65,7.45,0.01,1.33
2018,1,12,10,13.6,10.13,7.69,0,1.38
2018,1,12,11,15.41,10.3,7.81,0,1.2
2018,1,12,12,16.33,9.97,7.63,0,1.12
2018,1,12,13,16.7,9.63,7.51,0,1.11
2018,1,12,14,16.48,9.44,7.39,0,1.11
2018,1,12,15,15.53,9.76,7.57,0,1.03
2018,1,12,16,12.99,10.3,7.81,0,0.84
2018,1,12,17,10.27,9.6,7.45,0,1
2018,1,12,18,9.52,9.55,7.45,0,1.17
2018,1,12,19,8.55,9.37,7.32,0,1.22
2018,1,12,20,7.83,9.07,7.2,0,1.15
2018,1,12,21,7.35,8.72,7.02,0,1.09
2018,1,12,22,6.95,8.34,6.84,0,1.05
2018,1,12,23,6.58,7.92,6.65,0,1.04
2018,1,13,0,6.32,7.54,6.53,0,1.05
2018,1,13,1,6.27,7.32,6.41,0,1.19
2018,1,13,2,6.69,7.27,6.41,0,1.41
2018,1,13,3,7.52,7.37,6.41,0,1.63
2018,1,13,4,7.63,7.39,6.47,0,1.71
2018,1,13,5,7.37,7.37,6.41,0,1.79
2018,1,13,6,7.29,7.39,6.47,0,1.88
2018,1,13,7,7.5,7.45,6.47,0.01,1.93
2018,1,13,8,9.06,7.85,6.65,0.01,2
2018,1,13,9,11.24,8.4,6.9,0,1.83
2018,1,13,10,14.05,8.84,7.08,0,1.59
2018,1,13,11,16.3,9.62,7.51,0,1.03
2018,1,13,12,18.3,9.41,7.39,0,0.81
2018,1,13,13,19.4,9.23,7.32,0,0.65
2018,1,13,14,19.57,9.19,7.26,0,0.56
2018,1,13,15,18.45,10.81,8.18,0,0.45
2018,1,13,16,15.08,10.81,8.18,0,0.47
2018,1,13,17,12.63,9.6,7.51,0,0.65
2018,1,13,18,12.5,9.73,7.57,0,0.85
2018,1,13,19,12.59,9.67,7.51,0,0.88
2018,1,13,20,12.05,9.46,7.45,0,0.89
2018,1,13,21,11.65,9.14,7.26,0,0.95
2018,1,13,22,11.4,8.76,7.08,0,1.04
2018,1,13,23,11.11,8.44,6.9,0,1.06
2018,1,14,0,10.73,8.23,6.84,0,1.07
2018,1,14,1,10.26,8.08,6.77,0,1.15
2018,1,14,2,9.91,7.92,6.71,0,1.25
2018,1,14,3,9.59,7.78,6.65,0,1.26
2018,1,14,4,9.46,7.74,6.59,0,1.24
2018,1,14,5,9.65,7.76,6.65,0.01,1.23
2018,1,14,6,10.01,7.76,6.59,0.01,1.24
2018,1,14,7,10.47,7.94,6.71,0.01,1.2
2018,1,14,8,11.65,8.57,7.02,0,1.05
2018,1,14,9,13.55,9.05,7.2,0,0.92
2018,1,14,10,15.98,9.87,7.63,0,0.44
2018,1,14,11,17.96,9.9,7.69,0,0.2
2018,1,14,12,18.49,9.81,7.63,0,0.52
2018,1,14,13,18.36,9.68,7.57,0,0.49
2018,1,14,14,18.16,9.73,7.63,0,0.29
2018,1,14,15,17.77,10.2,7.87,0,0.07
2018,1,14,16,15.15,10.8,8.18,0,0.74
2018,1,14,17,13.26,10.03,7.75,0,0.86
2018,1,14,18,13.78,9.39,7.39,0,0.82
2018,1,14,19,12.37,9.52,7.45,0,0.73
2018,1,14,20,11.21,8.77,7.08,0,0.85
2018,1,14,21,11.38,8.44,6.96,0,0.8
2018,1,14,22,11.24,8.19,6.84,0,0.73
2018,1,14,23,11.62,8.08,6.77,0,0.9
2018,1,15,0,11.56,8.06,6.77,0,0.93
2018,1,15,1,11.08,7.94,6.71,0,1.02
2018,1,15,2,10.92,7.87,6.71,0,1.07
2018,1,15,3,10.47,8.18,6.84,0,1.14
2018,1,15,4,10.16,9.11,7.26,0,1.07
2018,1,15,5,11.15,9.93,7.69,0,0.29
2018,1,15,6,9.94,9.61,7.51,0,1.1
2018,1,15,7,9.54,9.17,7.32,0,0.95
2018,1,15,8,11.62,9.68,7.57,0,0.65
2018,1,15,9,13.3,9.15,7.26,0,0.5
2018,1,15,10,15.31,9.02,7.2,0,0.44
2018,1,15,11,17.49,8.37,6.9,0,0.66
2018,1,15,12,17.14,8.66,7.08,0,0.72
2018,1,15,13,16.12,10,7.75,0,0.59
2018,1,15,14,15.22,11.17,8.36,0,0.47
2018,1,15,15,14.61,11.65,8.67,0,0.37
2018,1,15,16,13.12,11.56,8.61,0,0.59
2018,1,15,17,12.54,10.76,8.12,0,0.7
2018,1,15,18,12.05,10.98,8.24,0,0.77
2018,1,15,19,12.33,11.34,8.48,0,0.12
2018,1,15,20,12.12,11.51,8.54,0,0.38
2018,1,15,21,12.11,11.69,8.61,0.01,0.46
2018,1,15,22,11.99,11.72,8.67,0.02,0.67
2018,1,15,23,11.83,11.65,8.61,0.04,0.64
2018,1,16,0,11.3,11.65,8.61,0.07,0.87
2018,1,16,1,11.76,11.85,8.73,0.09,0.82
2018,1,16,2,11.57,11.7,8.61,0.11,0.87
2018,1,16,3,11.19,11.55,8.54,0.3,0.89
2018,1,16,4,11.98,11.81,8.67,0.48,0.79
2018,1,16,5,12.44,11.95,8.79,0.64,0.62
2018,1,16,6,12.39,11.94,8.73,0.29,0.72
2018,1,16,7,12.76,12.14,8.85,0.19,0.46
2018,1,16,8,13.23,12.69,9.22,0.09,0.35
2018,1,16,9,14.02,13.37,9.58,0.04,0.07
2018,1,16,10,16.66,14.69,10.5,0.01,0.28
2018,1,16,11,18.3,13.69,9.83,0,0.2
2018,1,16,12,18.26,12.82,9.28,0,0.27
2018,1,16,13,18.33,12.69,9.22,0.01,0.37
2018,1,16,14,18.04,12.83,9.28,0.01,0.52
2018,1,16,15,17.01,13.29,9.58,0.02,0.39
2018,1,16,16,14.82,13.51,9.7,0.02,0.6
2018,1,16,17,12.69,12.35,8.97,0.02,0.88
2018,1,16,18,12.01,12.08,8.85,0.02,0.9
2018,1,16,19,11.93,11.92,8.73,0.01,0.89
2018,1,16,20,12.11,11.84,8.67,0.01,0.81
2018,1,16,21,11.95,11.56,8.54,0.02,0.82
2018,1,16,22,11.96,11.44,8.48,0.01,0.69
2018,1,16,23,12.02,11.36,8.42,0.01,0.56
2018,1,17,0,12.2,11.4,8.42,0.01,0.38
2018,1,17,1,12.08,11.4,8.42,0.01,0.41
2018,1,17,2,11.76,11.3,8.36,0,0.6
2018,1,17,3,11.74,11.2,8.3,0,0.49
2018,1,17,4,11.27,10.97,8.18,0,0.69
2018,1,17,5,10.51,10.71,8.06,0,0.98
2018,1,17,6,10.8,10.76,8.12,0,0.94
2018,1,17,7,10.63,10.61,8,0.01,0.93
2018,1,17,8,12.4,11.65,8.54,0.01,0.59
2018,1,17,9,13.94,12.23,8.91,0,0.61
2018,1,17,10,15.45,12.35,8.97,0,0.51
2018,1,17,11,16.58,12.16,8.85,0,0.35
2018,1,17,12,17.53,11.74,8.61,0,0.33
2018,1,17,13,17.94,11.62,8.54,0,0.55
2018,1,17,14,17.75,11.8,8.67,0,0.54
2018,1,17,15,16.85,12.29,8.97,0,0.49
2018,1,17,16,14.35,12.55,9.09,0,0.49
2018,1,17,17,12.38,11.23,8.36,0,0.93
2018,1,17,18,12.33,10.94,8.18,0,0.96
2018,1,17,19,12.77,10.78,8.12,0,0.33
2018,1,17,20,12.06,10.47,7.93,0,0.63
2018,1,17,21,11.04,10.29,7.87,0,1.06
2018,1,17,22,10.51,10.32,7.87,0,1.16
2018,1,17,23,10.76,10.48,7.93,0.01,0.92
2018,1,18,0,10.3,10.4,7.93,0.01,0.97
2018,1,18,1,10.63,10.43,7.93,0.02,0.77
2018,1,18,2,11.15,10.34,7.87,0.02,0.08
2018,1,18,3,10.58,10.15,7.81,0.01,0.8
2018,1,18,4,9.34,9.7,7.57,0.02,1.16
2018,1,18,5,8.73,9.45,7.45,0.02,1.22
2018,1,18,6,8.92,9.39,7.39,0.05,1.19
2018,1,18,7,9.7,9.83,7.63,0.12,0.97
2018,1,18,8,12.04,11.45,8.48,0.23,0.94
2018,1,18,9,13.23,12.35,9.03,0.27,1.03
2018,1,18,10,14.65,13.34,9.64,0.36,0.98
2018,1,18,11,15.59,13.64,9.83,0.58,1.13
2018,1,18,12,15.72,13.4,9.7,0.57,1.27
2018,1,18,13,15.65,13.29,9.58,0.62,1.28
2018,1,18,14,15.32,13.13,9.52,0.41,1.27
2018,1,18,15,14.55,12.88,9.34,0.18,1.31
2018,1,18,16,13.36,12.53,9.16,0.11,1.14
2018,1,18,17,12.05,11.9,8.79,0.12,1.07
2018,1,18,18,11.57,11.3,8.42,0.13,1.33
2018,1,18,19,10.98,10.74,8.12,0.13,1.37
2018,1,18,20,10.68,10.33,7.87,0.14,1.43
2018,1,18,21,10.37,9.8,7.63,0.14,1.57
2018,1,18,22,9.99,9.25,7.32,0.08,1.64
2018,1,18,23,9.52,8.86,7.14,0.02,1.58
2018,1,19,0,8.67,8.24,6.84,0.01,1.44
2018,1,19,1,7.49,7.23,6.41,0.01,1.34
2018,1,19,2,6.96,6.4,6.04,0.01,1.24
2018,1,19,3,6.96,5.97,5.86,0.01,1.14
2018,1,19,4,6.57,5.26,5.55,0.02,1.26
2018,1,19,5,6.53,4.8,5.37,0.01,1.41
2018,1,19,6,6.53,4.6,5.31,0,1.47
2018,1,19,7,6.85,4.91,5.43,0,1.34
2018,1,19,8,9.35,7.2,6.35,0.01,0.94
2018,1,19,9,10.8,6.36,6.04,0.01,1.07
2018,1,19,10,11.72,4.98,5.49,0.01,1.08
2018,1,19,11,12.27,4.32,5.25,0.02,1.15
2018,1,19,12,12.42,4.15,5.19,0.05,1.27
2018,1,19,13,12.25,4.21,5.19,0.03,1.42
2018,1,19,14,11.74,4.31,5.25,0.12,1.57
2018,1,19,15,10.89,4.52,5.31,0.06,1.67
2018,1,19,16,9.49,5.05,5.49,0.01,1.54
2018,1,19,17,7.63,5.34,5.62,0.05,1.49
2018,1,19,18,7.39,5.4,5.62,0.01,1.55
2018,1,19,19,7.03,5.43,5.68,0.01,1.5
2018,1,19,20,6.67,5.44,5.68,0,1.47
2018,1,19,21,6.45,5.48,5.68,0.01,1.44
2018,1,19,22,6.33,5.58,5.68,0.01,1.46
2018,1,19,23,6.12,5.62,5.74,0.01,1.49
2018,1,20,0,5.55,5.52,5.68,0.01,1.52
2018,1,20,1,5.14,5.38,5.62,0.01,1.55
2018,1,20,2,4.9,5.23,5.55,0,1.6
2018,1,20,3,4.64,5.01,5.49,0,1.61
2018,1,20,4,4.19,4.65,5.37,0,1.55
2018,1,20,5,3.94,4.4,5.25,0,1.53
2018,1,20,6,3.8,4.27,5.19,0,1.49
2018,1,20,7,4.51,4.54,5.31,0,1.45
2018,1,20,8,7.39,5.52,5.68,0,1.53
2018,1,20,9,9.1,4.54,5.31,0,1.73
2018,1,20,10,10.48,3.63,5,0,1.74
2018,1,20,11,11.37,3.49,4.94,0,1.73
2018,1,20,12,11.82,3.63,5,0,1.75
2018,1,20,13,11.95,3.84,5.07,0,1.8
2018,1,20,14,11.76,4.03,5.13,0,1.81
2018,1,20,15,11.08,4.48,5.31,0,1.76
2018,1,20,16,9.49,5.6,5.68,0,1.43
2018,1,20,17,6.62,5.69,5.74,0,1.24
2018,1,20,18,5.94,5.71,5.74,0,1.11
2018,1,20,19,5.6,5.59,5.68,0,1.26
2018,1,20,20,5.32,5.48,5.62,0,1.33
2018,1,20,21,5.37,5.34,5.55,0,1.43
2018,1,20,22,5.75,5.26,5.55,0,1.37
2018,1,20,23,6.26,5.23,5.55,0,1.12
2018,1,21,0,6.48,5.19,5.49,0,0.89
2018,1,21,1,6.19,5.11,5.49,0,0.92
2018,1,21,2,5.92,5.09,5.49,0,0.97
2018,1,21,3,5.92,5.15,5.49,0,0.89
2018,1,21,4,6.14,5.19,5.49,0,0.74
2018,1,21,5,6.01,5.19,5.49,0,0.85
2018,1,21,6,5.84,5.26,5.55,0,0.91
2018,1,21,7,6.24,5.48,5.62,0,0.75
2018,1,21,8,7.81,6.33,5.98,0,0.23
